epoch,lr,train_loss,val_loss,val_road_iou,val_mean_iou,val_bottom_road_iou,val_pixel_accuracy
1,0.001999657324975557,1.0124869346618652,1.4385190606117249,0.22614923289363761,0.11320363321899919,0.2955985691236413,0.22630376401154892
2,0.0019986295347545736,0.6581849730931796,1.655997395515442,0.3363050197744497,0.3805028443052963,0.4079501286422644,0.554554151452106
3,0.001996917333733128,0.5012618555472448,0.9720598757266998,0.5627836840342584,0.6706475245958403,0.6309058910814215,0.8276486604110055
4,0.001994521895368273,0.4184874708835895,0.8187672197818756,0.6361012807549713,0.7372000165055226,0.6908058095073248,0.8739325481912364
5,0.00199144486137381,0.3707921321575458,0.6521898508071899,0.6936181464483351,0.7847774502592363,0.7344465998527449,0.9031411875849185
6,0.0019876883405951376,0.3479978350492624,0.58709517121315,0.7109662885534423,0.798481844593572,0.7441011025785783,0.9109649658203125
7,0.0019832549075639544,0.3187278669614058,0.5598949491977692,0.7150959213783127,0.8031571076697086,0.738289993501604,0.9145494543987772
8,0.001978147600733805,0.29630379722668576,0.5560228005051613,0.7449856733524355,0.8254458243412311,0.7685450436824968,0.926193900730299
9,0.001972369920397676,0.29266929855713475,0.6449389606714249,0.7109788147644434,0.7979683493389684,0.7417302067659639,0.9103333846382473
10,0.0019659258262890674,0.2658733416062135,0.5921744033694267,0.7335022470373948,0.815310962455613,0.7603614746665462,0.9198230245838994
11,0.0019588197348681924,0.2678480858986194,0.4196770191192627,0.7750543952836515,0.848213879097413,0.7864140552424026,0.9381335714588994
12,0.001951056516295153,0.24723457143856928,0.5711909979581833,0.7465234439594344,0.8257571158172237,0.7736099025022642,0.9257633375084918
13,0.001942641491092178,0.23440618583789238,0.5610522776842117,0.7354819270385787,0.8174284738669803,0.7696984890910182,0.9213734502377717
14,0.0019335804264972011,0.2241782144858287,0.5386709496378899,0.7497971082829693,0.8279955066545395,0.7673083691138172,0.9267777152683424
15,0.0019238795325112862,0.22443719666737777,0.6496345400810242,0.715952379929824,0.8016362721341247,0.7494829810323999,0.9122440503991168
16,0.0019135454576426003,0.24103616292660052,0.5009715706110001,0.7597348373522922,0.8362805004218232,0.7839668582658177,0.9316631814707881
17,0.0019025852843498603,0.2290420956336535,0.580314926803112,0.750388932228841,0.828065185407677,0.784609567835181,0.9265534774116848
18,0.0018910065241883674,0.20758960109490615,0.6367193758487701,0.724613425190125,0.807984757064379,0.7635119702663982,0.9155094312584918
19,0.001878817112661965,0.20922157397637,0.5447399690747261,0.7532667755024193,0.8304151541208585,0.7787973302391927,0.9279081925101902
20,0.0018660254037844385,0.20245945568268114,0.49114057421684265,0.7662710286665382,0.8403716774377692,0.792980833164696,0.9332023288892664
21,0.0018526401643540918,0.18846557002801162,0.6195588931441307,0.7394249319894012,0.8194407083271608,0.7712906686984269,0.9217748227326766
22,0.0018386705679454237,0.1946120663331105,0.6884715557098389,0.7090353448694328,0.79567059101331,0.7479143408099056,0.9085374915081522
23,0.0018241261886220153,0.192162424325943,0.404245987534523,0.7960278226127488,0.8621111332926695,0.8161679307782221,0.943912008534307
24,0.001809016994374947,0.19214159364883715,0.44012849777936935,0.7771879237372776,0.8483032798086224,0.8019928742309071,0.9370986275050951
25,0.0017933533402912348,0.19270448845166427,0.5550860017538071,0.7448121144139092,0.823766789745285,0.7662003996574365,0.9242334780485734
26,0.0017771459614569706,0.19214259661160982,0.42610597610473633,0.7848400143742267,0.8546793689484673,0.8021730694606131,0.9408144743546195
27,0.0017604059656000307,0.17454911883060747,0.607567548751831,0.7362920353982301,0.8174037595587961,0.7738679731278321,0.9209223208220109
28,0.001743144825477394,0.18470687934985527,0.5693686753511429,0.752639043136226,0.8297662062497604,0.7946496521227904,0.9274471117102582
29,0.0017253743710122873,0.1813286290718959,0.511550635099411,0.7624178813852341,0.8366575429774529,0.784750520046733,0.9307098388671875
30,0.0017071067811865474,0.186644774216872,0.4241288751363754,0.7886808724711631,0.8569023471009118,0.8064924145764036,0.9414778999660326
31,0.0016883545756937535,0.1826959470143685,0.3949846923351288,0.7832801471024379,0.8528436124721284,0.8025951005848682,0.9394013778023098
32,0.0016691306063588579,0.17380964297514695,0.6391468122601509,0.7315943522037013,0.8133405582916915,0.7689097729956424,0.9184165622877039
33,0.0016494480483301834,0.15840629430917594,0.5357249975204468,0.7543921467647869,0.8308600520007332,0.769920748143137,0.9278617527173914
34,0.0016293203910498371,0.16544554096001846,0.39633171260356903,0.8031901907061281,0.8678263502191823,0.8189770462653562,0.947055319081182
35,0.0016087614290087203,0.15794217299956542,0.4583440572023392,0.7739473721116134,0.8458614498592869,0.7962071216186816,0.9358381188434103
36,0.0015877852522924727,0.16774726372498733,0.4771587997674942,0.7740929101534616,0.8460275349702187,0.7994608220457389,0.9359635062839674
37,0.0015664062369248324,0.16379901365591928,0.5160041525959969,0.7723116321578852,0.8443654677607576,0.796522393241523,0.9348807956861414
38,0.0015446390350150267,0.15805159509181976,0.447821781039238,0.7810807518599726,0.8507352487208857,0.8001137940906801,0.9380002229110055
39,0.0015224985647159484,0.14327510102437094,0.5645873844623566,0.7588546000506494,0.8339181340129669,0.7829481030767538,0.9292469853940217
