epoch,lr,train_loss,val_loss,val_road_iou,val_mean_iou,val_bottom_road_iou,val_pixel_accuracy
1,0.001999657324975557,1.0127791945750897,1.4365684986114502,0.22610407290251358,0.11305203645125679,0.2955985691236413,0.22610407290251358
2,0.0019986295347545736,0.6610080141287583,1.6797659397125244,0.3290637861076691,0.36708761029494197,0.4020632344489306,0.5394764775815217
3,0.001996917333733128,0.5073181092739105,1.0801297724246979,0.5251044386013846,0.6332821164189806,0.5933261507637556,0.7989382536514945
4,0.001994521895368273,0.4210131305914659,0.8744179159402847,0.6334759682127983,0.7348143266646641,0.686280263207182,0.8723117994225543
5,0.00199144486137381,0.3711005426370181,0.658817246556282,0.693401220366952,0.7848672147334725,0.730891522345854,0.9033614448879076
6,0.0019876883405951376,0.3552878728279701,0.6236552596092224,0.706482215482181,0.7954734333544307,0.7482464990238242,0.9096029530400815
7,0.0019832549075639544,0.32569384345641506,0.5175774544477463,0.7323504218398851,0.8173064444340861,0.7513039237858314,0.922885397206182
8,0.001978147600733805,0.29607071899450743,0.6026295572519302,0.7220148068993757,0.8071053536008004,0.758239343015528,0.9157781186311141
9,0.001972369920397676,0.3016295937391428,0.8067721426486969,0.6697349747253273,0.7641401944563093,0.7259179855121548,0.8900770104449728
10,0.0019659258262890674,0.27059475504435027,0.6150189638137817,0.7184141922224025,0.8038337698911936,0.7488031965019413,0.913651176120924
11,0.0019588197348681924,0.26480850462730116,0.5226624459028244,0.7525379007059368,0.8310496377866722,0.7715738594505238,0.9290691873301631
12,0.001951056516295153,0.243443658718696,0.614984892308712,0.7377487911341702,0.8185806201335717,0.7559987696603779,0.9215976880944293
13,0.001942641491092178,0.23721250662436852,0.5922233834862709,0.7204607893865163,0.8052644291491537,0.765104752850382,0.9143384850543478
14,0.0019335804264972011,0.23559139898190132,0.4394470155239105,0.7612634865891454,0.8372449392794861,0.7751769110876225,0.9320327095363451
15,0.0019238795325112862,0.23001054158577552,0.5744388997554779,0.7213476104550022,0.805734766704347,0.7645680351579884,0.9144545845363451
16,0.0019135454576426003,0.23577915590543014,0.5035055130720139,0.746075380475816,0.8247803187252514,0.7675873816460943,0.924808004628057
17,0.0019025852843498603,0.2185257191841419,0.6276765167713165,0.7401867573671853,0.8205839058195163,0.7719075840649067,0.9227679708729619
18,0.0018910065241883674,0.20180330138940078,0.5493084341287613,0.741730451831585,0.8211522994205966,0.7656678781976592,0.9226585056470789
19,0.001878817112661965,0.21330118752442873,0.6565780937671661,0.7225780745207839,0.8063295079751257,0.7489538328915618,0.9145461372707201
20,0.0018660254037844385,0.20344286583937132,0.4706067517399788,0.7643824528841658,0.8392177671261187,0.7853490440195643,0.9327923318614131
21,0.0018526401643540918,0.18535619974136353,0.5413950979709625,0.7563016967247145,0.8327211992343279,0.7851253292243743,0.9291255785071332
22,0.0018386705679454237,0.19984182256918687,0.6069642901420593,0.7256735351031349,0.8088481693948996,0.7542892616671328,0.916012307871943
23,0.0018241261886220153,0.1923809017126377,0.4756866842508316,0.7721635331347729,0.8444329294510692,0.7857424055887995,0.9350406812584918
24,0.001809016994374947,0.1934917110663194,0.46885592490434647,0.7662260305936041,0.8408933398302756,0.7963190362356224,0.9338644276494565
25,0.0017933533402912348,0.17823615899452797,0.5361823886632919,0.7538433286706311,0.8307114492888743,0.7791854819302692,0.927967237389606
26,0.0017771459614569706,0.18366085222134224,0.44037170708179474,0.7751589499322393,0.8469231053592076,0.7976253585563342,0.9364909296450408
27,0.0017604059656000307,0.18379599314469558,0.7965925633907318,0.6855279699909033,0.7771334868120386,0.7396648381659591,0.8979419210682744
28,0.001743144825477394,0.1943292388549218,0.6033963337540627,0.735693740829321,0.8179049074651066,0.7830942410991347,0.9218451458474864
29,0.0017253743710122873,0.18171677107994372,0.6236216276884079,0.7319584688856666,0.8139255802453799,0.7619139794609804,0.9189380148182744
30,0.0017071067811865474,0.18612255729161775,0.5769217014312744,0.730846368959189,0.8129008129003464,0.7541818181818182,0.9182679549507473
31,0.0016883545756937535,0.1884935383613293,0.4733569994568825,0.7672730188981876,0.8419009645681339,0.7995756547485993,0.9345424486243207
32,0.0016691306063588579,0.17468424485279962,0.6262716203927994,0.7258538472572996,0.8091786078843004,0.7622326541068623,0.9163201373556386
33,0.0016494480483301834,0.16969337944801038,0.5694148689508438,0.7367021452965947,0.8176243179391909,0.7630321917879292,0.9209780485733695
34,0.0016293203910498371,0.16412372543261602,0.46277373284101486,0.7706720140813177,0.8436110096740351,0.7942342980162113,0.9348270582116168
35,0.0016087614290087203,0.1601418279684507,0.48585015535354614,0.7660965479454599,0.8402618590809563,0.7967660745649773,0.9331605330757473
36,0.0015877852522924727,0.16565563816290635,0.5701354742050171,0.7452697779823977,0.824087060155977,0.7720362612265486,0.9243847390879756
37,0.0015664062369248324,0.1632585502587832,0.5026954263448715,0.7544011609969032,0.8315585002358705,0.7819830769285443,0.9287062935207201
38,0.0015446390350150267,0.15810813410924032,0.543912798166275,0.7478776451243924,0.8258161582516158,0.7704442979840777,0.9251297660495924
39,0.0015224985647159484,0.14925904285449249,0.5381242781877518,0.7503329465885954,0.8280968855776871,0.7740259466523338,0.926621146824049
40,0.0014999999999999996,0.16856607794761658,0.4497143477201462,0.7667494496147891,0.8413447686095912,0.7929003946238391,0.9341390858525815
41,0.0014771587602596082,0.17245330489598787,0.4813547283411026,0.7619998845332255,0.8372326419522662,0.7874343673279215,0.9316273564877717
42,0.0014539904997395465,0.1538966573201693,0.5195936858654022,0.7612002759255001,0.8364551115150105,0.7811854407599088,0.9311005965523098
43,0.0014305110968082949,0.1527988761663437,0.5628811866044998,0.7558329343638146,0.8323733164509564,0.7829294591680381,0.9289477804432744
44,0.0014067366430757999,0.1449705923979099,0.6312810480594635,0.735262259713159,0.816656551385072,0.7641654543118743,0.9205474853515625
45,0.0013826834323650893,0.14871794501176247,0.470954492688179,0.7758975537032001,0.8473125421991607,0.7966482464694622,0.9365745212720789
46,0.0013583679495453,0.14266061324339646,0.5505790039896965,0.7561025692506713,0.8325978601413745,0.778524013503163,0.9290798021399457
47,0.0013338068592337704,0.13509184351334205,0.5878936946392059,0.7530992741010012,0.830117243687932,0.7833034022104075,0.9276335343070652
48,0.001309016994374947,0.13651584432675287,0.46998438239097595,0.7781961850944348,0.848859509345537,0.7951433029007281,0.9372425908627717
49,0.0012840153447039224,0.1306361286686017,0.6134828627109528,0.7410263535217686,0.8208965304948885,0.772040376972704,0.9227122431216033
50,0.0012588190451025202,0.13129964126990393,0.3898599445819855,0.7968769412538521,0.8631139447358589,0.8210898033620557,0.944682909094769
51,0.001233445363855905,0.14573686455304807,0.6128538250923157,0.7433129744720887,0.822768116675305,0.7694816454787169,0.9237989342730978
52,0.0012079116908177586,0.1419688520523218,0.4646134674549103,0.7705066394232227,0.8434560587300066,0.794298752289748,0.9347255540930707
53,0.0011822355254921468,0.1348865685554651,0.5657555609941483,0.7514688271625741,0.8285775443161902,0.7789688526670521,0.9266138491423234
54,0.00115643446504023,0.14168294977683288,0.575394369661808,0.7560936183776154,0.8324680326269631,0.7798187546461821,0.9289265508237092
55,0.0011305261922200508,0.13174314166490847,0.6690408140420914,0.7274031469572988,0.8107501661239351,0.7663400168070729,0.917430711829144
56,0.0011045284632676528,0.1497175429876034,0.482509046792984,0.7736326094895637,0.8457341029535748,0.8015783990213055,0.9358493970788043
57,0.0010784590957278442,0.13719247854672945,0.6536424979567528,0.7289326487888858,0.8116958264057655,0.7671024585326566,0.9177909519361414
58,0.0010523359562429428,0.1309058706347759,0.4870627671480179,0.767705716625262,0.8411346305926806,0.7948863861466373,0.9333754829738451
59,0.0010261769483078723,0.13042637189993492,0.5535630434751511,0.7476409246042659,0.826210163493794,0.7828936867531417,0.9257308296535326
60,0.0009999999999999994,0.13051378784271386,0.5985406786203384,0.7388800998239711,0.8196036084281704,0.7730540441487412,0.9222544794497283
61,0.0009738230516921261,0.13613950059964106,0.5450243651866913,0.7532555877291043,0.8303279676319693,0.7841152922337871,0.9278080152428668
62,0.0009476640437570555,0.13047187947309935,0.47006283700466156,0.775640920785439,0.8469782286777559,0.7964034792429063,0.9363031801970109
